eng,nupe
Praise be to Allah the Cherisher and Sustainer of the worlds,Yebo kpata ajin tabbata ya Soko Etsu nae kpa alittazhi kpata na
Most Gracious Most Merciful,Estu na niimau ke ke yiba to mumini to kafiri emi izheo na Etsu na ada yegun kpe muminizhi ri ke kafirizhi lugwa efo alkiyami na
Master of the Day of Judgment,Etsu na wun mulki efo egagbaena
Thee do we worship and Thine aid we seek,Wyo gbaogi ga yi-ejin bauta yao be wyo gbaogi ma yib -ewa taimako
Show us the straight way,Soko wu yi ba eko natso yi gboro na
The way of those on whom Thou hast bestowed Thy Grace those whose portion is not wrath and who go not astray,Eko yan za nazhi wyo la niima wyoe twarya ya na Ujin yan za nazhi wyo zhe wun zhen wun be yin naa umajin yan zanazhia gbin eko gboro lugwa naa
ALR These are the ayats of the Book of Wisdom,Alif Lam Ra Wuncinzhi aya yan litafi Alkuranu ayio na yi be hikimae na
Is it a matter of wonderment to men that We have sent Our inspiration to a man from among themselves- that he should warn mankind of their danger and give the good news to the Believers that they have before their Lord the lofty rank of truth But say the Unbelievers This is indeed an evident sorcerer!,Kashi wunafe eyan mamaki fe ya zawangizhi na Yi yaa wahayi jin ya eza bagi miniabo na kede jin zawangizhi gangba wyo mao ya zanazhia imani jin na labari yangbanfa kede ade kinigiba wanciko yan dzoshi dan eba Tsociabo na Kafirizhi cigan hakika za na na eyan-maci naa tu la na uyio
Verily your Lord is Allah who created the heavens and the earth in six days and is firmly established on the throne of authority regulating and governing all things No intercessor can plead with Him except after His leave hath been obtained This is Allah your Lord Him therefore serve ye will ye not receive admonition,Hakika Tsoci ye uga yi Sokoo Etsu najin alita sanmazhi to kin dan mini eka yan fo gutsunayino na gancin ucia jin daidai ta eti Alarashio Ucie jin shiri alamarizhi kendoe ga ba una Zandondo danbo naa tangwa wo naa saide be iziniUyin Soko wuncin ga danonao Wyun ga yi Tsoci ye-yeo Ebo acino efe jin bauta yau Kashi ye ewo sinsantu woa
 To Him will be your return- of all of you The promise of Allah is true and sure It is He Who beginneth the process of creation and repeateth it that He may reward with justice those who believe and work righteousness but those who reject Him will have draughts of boiling fluids and a penalty grievous because they did reject Him,Ebau gabo ezhe keba ye dan baeni bo alkawali Soko ma gaskiya uyio Hakika Wyun ga yi Etsu nae ca jin jin alitta nao gancin Ucia kezhe u laazheban zhin Efo Alkiyami ebo u la egagbau ya zanazhia imani jin aci lo tun wan gi zhi na be adalinci zanazhi maajin kafirinci na yi be eyan finci na wona sarauyin na be azaba na tan nae ebo kafirinci nazhi afe jin na
It is He Who made the sun to be a shining glory and the moon to be a light of beauty and measured out stages for her that ye might know the number of years and the count of time Nowise did Allah create this but in truth and righteousness Thus doth He explain His Signs in detail for those who understand,Wyun ga la igidi cie ban-nao to etswa nae ya haske na ucia jin be ecin ba zhi ebo yede bae de kpikpe yan lisafi yandondo Soko jin wuncin zhi jina sai de eti gaskiyao Umae kpe ayazhi ye kpe ya zanazhi ga yi eza kpikpe zhi na
 Verily in the alternation of the night and the day and in all that Allah hath created in the heavens and the earth are signs for those who fear Him,Hakika mini cice le ba yan yeshi to igidi to yannazhi Soko jin fi sanmazhio to kin bo na ayazhi danbo ya jamaa nazhi gae sundan Soko acie tswau na
 Those who rest not their hope on their meeting with Us but are pleased and satisfied with the life of the present and those who heed not Our Signs-,Hakika zanazhie sundan yan gun-gun be yi yina na acia yeda jin be emawo izhe na yangbanazhi maashi be uyin na to to zanazhia ya ye ke aya Yizhi lugwa na
Their abode is the Fire because of the evil they earned,Za wuncinzhi kpata ezhe ke baa uga yi enao ebo iri etun dede nazhi afe lo na
Those who believe and work righteousness- their Lord will guide them because of their faith beneath them will flow rivers in gardens of bliss,Hakika zanazhia imani jin na aci lo tun wangizhi na Tsocia wyuna bea bawu be imania yin nuwan jijecizhiafe je fi takoabo fi mini Aljannazhio nazhi yi emi niima na
This will be their cry therein Glory to Thee O Allah! And Peace will be their greeting therein! and the close of their cry will be Praise be to Allah the Cherisher and Sustainer of the worlds!,Aduwa na afe ba fi miniubo na Lili kpata ajin tabbata ya wyoe Soko emi saama miniubo uga yi SALAMUO Aduwa yan zobaama uga yi yebo kpataa jin tabbata ya Soko Etsu nae kpa alittazhi kpata na
If Allah were to hasten for men the ill they have earned as they would fain hasten on the good- then would their respite be settled at once But We leave those who rest not their hope on their meeting with Us in their trespasses wandering in distraction to and fro,Da aci gan Sokoe din ye din be gwigwo aduwa dede zazhii kendoe wyune dinye be alherii yaana hakika da aga hukunci ba eti ajaliazhi boa ni ebo acino Yi ela zanazhie jin kauna yan gun-gun wangi be Yi yina na ya fi ragbanzhiazhio aci gaazhi fi bo
When trouble toucheth a man He crieth unto Us in all postures- lying down on his side or sitting or standing But when We have solved his trouble he passeth on his way as if he had never cried to Us for a trouble that touched him! thus do the deeds of transgressors seem fair in their eyes!,Kamina egun gaa to za na wyua fe yi Yi ye ci elelebaubo koma edun feubo koma gbaroo Gancin kamina Yi bea egunu laake yabo yau na ufe jin bojin ke wyoa gangan uyi Yi le lo eba egun na tougwa naa na Acinga ga Sokoe la nin pa dan etun nazhi eyan nyincizhi elo nao
Generations before you We destroyed when they did wrong their messengers came to them with clear-signs but they would not believe! thus do We requite those who sin!,Hakika Yi jin alumma nazhi shiyedzo na hallaka lokacina afe jin zwalunci na Tucia zhi ma br yaa be bayanizhi nazhia tu la na amaade ajin imania Acinga ga Yie la egagba ya jamaa nazhi yi le fi jinci zhi nao
 Then We made you heirs in the land after them to see how ye would behave,Gancin Yicia ye laafe khalifazhi kinigici yan alamari Soko zhi dan kin bo zunma yan zanazhi shidzo nao ebo Yii cin ye yele be kendoe ye gaajin jin nae
But when Our Clear Signs are rehearsed unto them those who rest not their hope on their meeting with Us Say Bring us a reading other than this or change this Say It is not for me of my own accord to change it I follow naught but what is revealed unto me if I were to disobey my Lord I should myself fear the penalty of a Great Day to come,Ama gae gba aya Yi nazhia tula na yaa za nazhie jin kauna gungun wangi be Yi yinana ajin agangan La kuranu ndoci beyn najin nanaana koma usangwa Gangan U-- yin ya mi yina umajin kagbo mi yina na mia sanugwa wo be ti mi yin naa Mi mae la mi tu yandondoa sai de natso aga jin wahayiu be yami na Hakika mie sundan migaalr Tsoci mi ba na yan azaba Efo na gbota na
Say If Allah had so willed I should not have rehearsed it to you nor would He have made it known to you A whole life-time before this have I tarried amongst you will ye not then understandGangan ,Wunaba Soko ba da mia gbau wo ya ye yea da mimaala kpikpeu wu ye woa hakika mi fedun dan tacin yebo eya nazhi dokun na shidzo be dzo kafi wahayiu be na Kashi yeela hankali yezhi la tu alamarizhia
